company_age_years,annual_revenue_lakhs,profit_margin_pct,monthly_burn_rate_lakhs,market_size_cr,team_size,sector,business_model,required_investment_lakhs,monthly_active_users,growth_rate_pct,investment_ready,recommended_investor_type,suggested_funding_range
16,99.39,15.81,21.93,263.96,57,AI/ML,Subscription,210.35,166821,21.88,1,Angel,₹0–3L
5,8.5,8.51,1.52,63.14,49,Entertainment,Subscription,23.81,29625,23.88,1,Angel,₹0–3L
10,56.58,10.0,5.63,171.78,32,AgriTech,B2B,181.68,131884,-15.29,1,Angel,₹0–3L
7,10.08,-0.48,1.19,50.0,14,HealthTech,B2B,10.88,37805,-2.85,0,Angel,₹0–3L
12,21.74,28.9,4.07,58.57,19,EdTech,B2B,46.83,23702,8.94,1,Angel,₹0–3L
7,35.35,42.12,2.43,170.34,3,E-commerce,Subscription,65.1,54459,13.17,1,Angel,₹0–3L
6,77.28,4.68,9.88,248.87,43,SaaS,B2B,213.98,166905,0.34,1,Angel,₹0–3L
2,35.71,12.25,6.08,167.33,18,AgriTech,B2B,54.04,119439,24.7,1,Angel,₹0–3L
1,17.76,9.17,2.56,136.87,27,AgriTech,Subscription,45.61,107298,40.46,1,Angel,₹0–3L
11,14.4,4.89,2.3,120.21,36,AgriTech,Subscription,22.89,89545,13.2,1,Angel,₹0–3L
3,10.49,-1.98,1.53,52.72,66,SaaS,B2B,10.0,31647,11.1,1,Angel,₹0–3L
4,28.19,-5.01,1.86,89.67,63,E-commerce,B2B,18.12,50664,22.32,1,Angel,₹0–3L
15,28.14,-5.62,3.22,107.51,38,Entertainment,B2B,19.16,33748,-18.46,0,Angel,₹0–3L
1,90.52,12.89,12.89,311.06,71,EdTech,Subscription,36.58,131680,11.5,1,Angel,₹0–3L
12,28.09,1.77,5.6,188.77,2,AgriTech,Marketplace,56.34,100012,24.83,1,Angel,₹0–3L
3,10.93,-22.94,1.86,50.0,86,Entertainment,B2C,26.77,30712,-1.56,0,Angel,₹0–3L
4,12.2,13.34,1.44,186.21,57,AgriTech,B2B2C,10.0,107744,-7.29,1,Angel,₹0–3L
11,38.1,7.55,9.3,113.35,42,SaaS,B2C,86.03,76091,7.84,0,Angel,₹0–3L
14,36.63,24.17,1.64,92.4,17,Entertainment,Subscription,81.06,40646,11.1,1,Angel,₹0–3L
4,43.82,12.49,2.96,227.73,29,Entertainment,Marketplace,33.77,132649,-2.59,0,Angel,₹0–3L
4,16.44,-9.74,1.62,305.42,55,EdTech,Subscription,26.2,105087,40.63,0,Angel,₹0–3L
15,31.17,-18.75,2.26,284.83,55,SaaS,B2B,84.67,144361,1.26,0,Angel,₹0–3L
8,22.96,-0.63,3.76,82.48,56,E-commerce,B2B2C,10.0,55680,-7.36,1,Angel,₹0–3L
14,31.58,0.51,1.0,119.53,21,AI/ML,B2C,24.33,77298,8.64,1,Angel,₹0–3L
3,60.96,19.33,3.71,187.15,16,AgriTech,Subscription,212.56,148840,25.23,1,Angel,₹0–3L
16,40.8,7.9,3.57,293.79,44,FinTech,Marketplace,108.0,128959,10.92,0,Angel,₹0–3L
0,33.67,21.61,5.97,106.12,59,E-commerce,B2B,60.11,58270,19.08,1,Angel,₹0–3L
15,37.9,-7.89,8.39,130.33,40,FinTech,Marketplace,87.75,60570,-3.73,0,Angel,₹0–3L
19,11.15,19.59,2.27,68.41,77,EdTech,B2B2C,33.54,35595,33.95,1,Angel,₹0–3L
16,15.48,16.66,1.0,64.24,40,HealthTech,Marketplace,46.36,46798,19.81,1,Angel,₹0–3L
3,26.62,-16.21,3.99,262.11,39,EdTech,Marketplace,35.64,168302,24.36,0,Angel,₹0–3L
12,79.92,23.89,2.15,383.51,56,SaaS,B2B,149.63,284266,17.47,1,Angel,₹0–3L
7,50.58,9.13,4.62,141.12,70,EdTech,Marketplace,118.45,56694,23.13,1,Angel,₹0–3L
17,59.15,12.72,12.15,299.61,6,EdTech,B2B,31.35,220714,-2.04,1,Angel,₹0–3L
12,65.73,-2.36,8.22,191.17,12,AgriTech,B2B2C,218.66,63062,2.43,0,Angel,₹0–3L
8,24.24,23.31,1.32,94.48,32,E-commerce,Subscription,40.84,70323,32.14,1,Angel,₹0–3L
4,22.39,-6.22,2.71,191.13,118,E-commerce,B2B,33.29,88788,32.88,1,Angel,₹0–3L
10,110.36,18.01,7.23,435.56,33,HealthTech,Subscription,353.47,199177,-5.7,0,Seed Fund,₹0–3L
13,32.87,17.86,3.63,144.74,36,SaaS,B2C,22.3,80480,15.23,1,Angel,₹0–3L
17,84.1,-3.67,11.12,443.75,55,FinTech,Marketplace,35.8,341836,3.23,0,Angel,₹0–3L
17,5.0,31.8,1.0,50.0,64,Entertainment,Subscription,12.46,16194,2.19,1,Angel,₹0–3L
19,51.67,10.79,12.17,263.84,44,SaaS,Marketplace,79.16,125616,15.17,1,Angel,₹0–3L
15,11.9,15.85,1.78,157.74,69,FinTech,B2B,32.69,114878,28.44,1,Angel,₹0–3L
3,10.18,-10.32,2.18,120.38,10,FinTech,Marketplace,10.0,59955,15.91,1,Angel,₹0–3L
18,30.95,33.42,6.03,158.26,20,EdTech,B2B2C,47.29,63236,7.99,1,Angel,₹0–3L
4,7.84,-6.69,1.35,50.0,69,HealthTech,Subscription,10.0,25619,17.17,1,Angel,₹0–3L
1,47.59,20.31,6.39,127.26,40,EdTech,Marketplace,126.9,62710,6.29,1,Angel,₹0–3L
16,34.59,-3.93,1.0,190.56,8,HealthTech,Subscription,35.52,144390,15.85,0,Angel,₹0–3L
3,131.65,0.61,21.21,417.6,6,AI/ML,Subscription,232.42,284372,31.0,0,Angel,₹0–3L
5,24.33,17.47,2.48,103.26,19,E-commerce,B2B2C,71.04,57054,-19.7,0,Angel,₹0–3L
17,24.98,20.34,1.18,84.27,40,AgriTech,B2B,80.67,66927,23.65,1,Angel,₹0–3L
5,14.73,-7.25,1.8,104.46,51,AgriTech,Marketplace,38.49,55637,-13.69,0,Angel,₹0–3L
19,106.95,21.11,20.23,281.68,31,AgriTech,B2C,178.98,92707,30.18,1,Angel,₹0–3L
14,44.0,20.55,10.61,186.82,49,Entertainment,Subscription,93.74,80543,2.16,1,Angel,₹0–3L
0,34.92,-3.25,3.7,102.43,29,EdTech,B2B,87.56,53061,-8.54,0,Angel,₹0–3L
16,37.79,27.19,5.47,212.57,70,AI/ML,B2C,117.14,80448,22.7,1,Angel,₹0–3L
1,13.51,-9.48,2.92,158.85,103,FinTech,Subscription,42.48,122914,14.67,1,Angel,₹0–3L
3,83.56,0.52,8.09,292.38,30,AgriTech,B2C,274.01,199819,-4.94,0,Angel,₹0–3L
2,5.0,13.75,1.0,90.79,51,AI/ML,Marketplace,14.47,39416,-7.65,0,Angel,₹0–3L
2,25.53,-2.24,2.17,117.99,49,AgriTech,Marketplace,19.65,70254,7.0,0,Angel,₹0–3L
13,13.25,11.17,3.01,112.79,43,E-commerce,Subscription,35.68,74522,-7.13,1,Angel,₹0–3L
19,14.36,10.9,1.0,53.28,56,AgriTech,Subscription,41.75,41058,-5.01,1,Angel,₹0–3L
7,71.72,5.77,6.87,182.6,51,E-commerce,Marketplace,223.0,135271,12.22,1,Angel,₹0–3L
7,37.87,18.0,4.8,178.17,28,AgriTech,B2B,123.43,99346,-2.99,0,Angel,₹0–3L
8,50.06,5.27,10.76,148.95,72,AgriTech,B2C,96.59,102374,16.84,1,Angel,₹0–3L
17,28.68,10.79,6.76,125.94,45,E-commerce,Subscription,68.72,73179,33.25,1,Angel,₹0–3L
6,12.32,21.76,1.45,55.11,30,SaaS,Subscription,10.0,31759,9.59,1,Angel,₹0–3L
9,41.53,17.5,9.73,110.56,101,Entertainment,B2B2C,88.58,39510,13.41,1,Angel,₹0–3L
0,42.21,17.44,2.41,116.76,37,AgriTech,B2C,76.57,42391,41.73,1,Angel,₹0–3L
3,27.51,-5.78,1.54,84.64,46,AI/ML,Marketplace,92.97,47801,-8.3,0,Angel,₹0–3L
19,20.37,14.3,4.86,132.57,44,SaaS,Subscription,64.9,57591,29.06,1,Angel,₹0–3L
3,47.41,-2.53,6.51,196.93,36,FinTech,Subscription,135.23,61149,25.85,1,Angel,₹0–3L
13,71.34,-7.36,4.48,555.76,51,EdTech,Marketplace,34.41,367588,22.2,1,Angel,₹0–3L
4,34.44,7.15,4.55,167.7,18,AgriTech,B2C,54.64,53035,29.97,1,Angel,₹0–3L
4,39.01,-2.84,7.81,177.73,54,SaaS,B2B,98.59,106220,13.97,1,Angel,₹0–3L
18,48.05,17.5,10.1,140.88,2,FinTech,Marketplace,18.98,80243,2.71,1,Angel,₹0–3L
4,18.18,17.78,3.98,50.0,7,Entertainment,B2B,19.17,39220,27.9,1,Angel,₹0–3L
10,28.43,-14.82,4.29,145.68,85,SaaS,Subscription,89.26,78976,25.76,0,Angel,₹0–3L
1,8.7,-1.94,1.91,154.8,8,SaaS,B2B,10.0,51364,26.42,1,Angel,₹0–3L
14,292.68,-9.44,40.19,832.36,2,HealthTech,B2B,135.92,479311,9.88,0,Angel,₹0–3L
13,14.4,2.45,2.3,129.72,9,HealthTech,Marketplace,31.07,93466,-0.54,1,Angel,₹0–3L
13,49.06,13.47,9.54,183.29,83,EdTech,Subscription,163.3,146345,13.99,1,Angel,₹0–3L
7,8.51,5.09,1.0,144.85,2,AgriTech,B2C,25.28,74622,24.56,1,Angel,₹0–3L
19,12.43,0.93,1.0,65.49,16,AgriTech,B2B2C,42.51,30136,25.44,0,Angel,₹0–3L
7,130.49,23.63,13.12,330.29,3,E-commerce,B2B,353.8,248817,5.52,1,Seed Fund,₹0–3L
4,21.42,-19.65,3.5,251.23,33,EdTech,Subscription,36.4,99390,13.09,0,Angel,₹0–3L
4,51.2,22.86,3.29,258.2,29,AI/ML,B2B2C,170.45,156909,-7.73,0,Angel,₹0–3L
13,12.37,1.47,1.0,78.53,27,Entertainment,B2C,20.6,39487,24.9,1,Angel,₹0–3L
4,145.32,7.1,12.7,396.21,86,AgriTech,B2B2C,206.4,127003,-1.16,1,Angel,₹0–3L
8,19.71,1.68,1.0,55.63,10,E-commerce,B2C,34.18,26348,21.92,1,Angel,₹0–3L
10,29.81,26.52,5.69,223.81,37,EdTech,B2B2C,86.59,96823,-5.03,1,Angel,₹0–3L
16,53.92,-6.76,4.29,687.68,48,EdTech,B2C,174.53,442207,24.91,0,Angel,₹0–3L
11,19.99,8.15,1.0,74.19,15,SaaS,B2B,28.88,57452,15.51,1,Angel,₹0–3L
11,16.75,14.33,3.03,99.84,52,AI/ML,B2B2C,29.8,43333,-0.53,1,Angel,₹0–3L
15,45.39,-11.32,9.71,159.14,30,AI/ML,B2C,144.1,112307,19.43,0,Angel,₹0–3L
0,6.39,-3.04,1.0,104.33,49,FinTech,Subscription,10.0,34187,0.89,1,Angel,₹0–3L
17,5.0,6.22,1.0,50.13,37,HealthTech,Marketplace,14.04,28524,21.76,1,Angel,₹0–3L
5,45.19,-2.63,10.73,155.71,2,EdTech,B2B2C,79.24,52205,5.67,0,Angel,₹0–3L
4,8.77,-1.78,1.0,70.55,72,SaaS,B2B2C,13.2,54116,-15.96,0,Angel,₹0–3L
17,72.4,3.82,17.08,206.75,91,FinTech,B2B2C,125.25,141247,-4.42,1,Angel,₹0–3L
12,5.5,15.8,1.0,77.98,35,E-commerce,B2B2C,10.0,49045,4.86,1,Angel,₹0–3L
5,55.08,3.9,3.86,439.2,17,E-commerce,Marketplace,149.89,312687,30.85,1,Angel,₹0–3L
6,34.27,20.95,2.37,85.77,77,HealthTech,B2B2C,112.03,53502,25.26,1,Angel,₹0–3L
2,23.88,-3.97,1.0,118.46,87,E-commerce,B2B,44.72,92926,34.03,1,Angel,₹0–3L
10,77.65,-7.0,17.56,262.29,35,HealthTech,B2B,230.21,172320,34.22,1,Angel,₹0–3L
7,7.14,31.12,1.75,62.7,34,E-commerce,Subscription,18.88,47799,4.57,1,Angel,₹0–3L
3,45.85,0.12,10.98,174.03,38,Entertainment,Marketplace,62.27,97206,7.18,1,Angel,₹0–3L
9,112.7,-7.7,24.34,370.55,2,E-commerce,Subscription,245.62,132855,3.19,0,Angel,₹0–3L
8,8.0,-12.9,1.72,50.0,32,EdTech,B2B,19.48,28204,-1.15,0,Angel,₹0–3L
12,57.44,20.92,9.88,168.89,82,AI/ML,B2B2C,21.55,61380,-15.88,1,Angel,₹0–3L
18,46.5,3.92,9.77,178.02,35,EdTech,B2B2C,72.87,106146,10.11,1,Angel,₹0–3L
14,47.77,4.97,3.24,256.54,13,FinTech,B2C,166.05,138850,-8.87,0,Angel,₹0–3L
4,15.31,6.09,1.67,62.44,52,Entertainment,Marketplace,35.81,38166,10.0,1,Angel,₹0–3L
12,14.83,20.16,2.48,58.89,23,AI/ML,B2C,20.31,17962,43.42,1,Angel,₹0–3L
11,23.08,5.85,5.11,213.87,38,EdTech,Marketplace,25.39,84995,2.85,1,Angel,₹0–3L
8,34.89,36.14,6.0,182.71,8,AI/ML,Marketplace,33.85,99697,15.93,1,Angel,₹0–3L
7,30.1,9.61,6.41,176.86,14,AI/ML,B2B2C,47.72,137109,24.4,1,Angel,₹0–3L
8,36.0,20.75,4.64,189.14,58,AI/ML,B2B2C,33.06,93022,15.93,1,Angel,₹0–3L
12,29.17,17.67,5.4,92.2,42,E-commerce,Subscription,21.37,47224,15.86,1,Angel,₹0–3L
8,38.22,7.57,9.38,174.61,20,AI/ML,B2B,55.99,114782,5.19,0,Angel,₹0–3L
5,69.08,0.97,3.82,182.21,42,Entertainment,B2B,154.9,109670,6.6,1,Angel,₹0–3L
5,13.75,11.99,3.21,90.01,24,E-commerce,B2B2C,10.57,40457,-3.4,0,Angel,₹0–3L
10,107.11,14.15,15.01,547.87,20,AgriTech,B2B,47.33,276899,23.87,1,Angel,₹0–3L
9,67.3,1.15,11.3,206.79,69,AI/ML,Marketplace,27.65,84544,-16.03,0,Angel,₹0–3L
13,15.54,10.0,3.45,64.46,59,E-commerce,B2B,17.96,50475,25.4,1,Angel,₹0–3L
5,56.74,22.85,6.48,235.0,39,AI/ML,Subscription,51.55,85849,-9.15,0,Angel,₹0–3L
6,5.15,32.84,1.0,75.02,43,FinTech,B2B,10.43,36452,27.18,1,Angel,₹0–3L
8,48.8,18.26,6.89,257.48,39,EdTech,B2B,85.8,80571,6.21,1,Angel,₹0–3L
2,48.34,30.37,1.18,333.96,52,AgriTech,Subscription,64.74,137220,-5.95,1,Angel,₹0–3L
11,33.4,0.46,4.48,83.56,20,AI/ML,Subscription,99.12,57673,18.73,1,Angel,₹0–3L
15,46.0,16.43,4.0,291.3,61,FinTech,B2B2C,88.14,116692,25.3,1,Angel,₹0–3L
12,71.24,24.08,16.63,198.13,48,Entertainment,Subscription,42.24,67372,5.44,1,Angel,₹0–3L
5,75.65,-2.74,3.04,263.87,33,Entertainment,B2B2C,94.29,141755,20.58,1,Angel,₹0–3L
12,94.8,2.2,11.91,559.9,27,EdTech,Marketplace,323.72,170760,-24.09,0,Seed Fund,₹3–15L
4,30.03,28.86,7.14,124.99,61,HealthTech,B2C,102.88,42794,-7.4,1,Angel,₹0–3L
3,30.14,-3.69,6.85,87.57,36,AgriTech,B2B,33.6,61629,29.08,1,Angel,₹0–3L
7,28.6,-8.09,5.19,79.63,22,AgriTech,Subscription,23.89,54602,5.97,0,Angel,₹0–3L
2,8.9,26.34,1.38,83.84,30,AI/ML,B2B,16.78,63516,-15.74,1,Angel,₹0–3L
1,23.74,22.37,2.01,140.62,59,HealthTech,Marketplace,43.7,102263,1.38,1,Angel,₹0–3L
19,31.53,13.19,3.29,188.45,2,EdTech,B2C,50.84,120904,-2.75,1,Angel,₹0–3L
18,11.66,7.45,1.0,180.13,31,EdTech,Subscription,23.24,58752,8.13,1,Angel,₹0–3L
6,68.69,2.75,13.79,264.81,66,AI/ML,B2B2C,71.64,183098,4.67,1,Angel,₹0–3L
11,52.3,11.4,4.94,149.77,35,FinTech,B2B2C,34.92,108247,13.63,1,Angel,₹0–3L
3,75.36,26.98,13.08,410.54,46,AI/ML,Subscription,160.17,287189,11.21,1,Angel,₹0–3L
9,38.11,10.87,3.9,123.31,67,Entertainment,Subscription,125.15,68345,31.3,1,Angel,₹0–3L
8,268.72,34.07,34.07,996.37,62,FinTech,Marketplace,199.06,414939,19.21,1,Angel,₹0–3L
11,41.74,-2.76,6.16,229.97,28,SaaS,B2C,106.65,166194,16.63,0,Angel,₹0–3L
10,8.09,7.77,1.65,81.45,36,AI/ML,Subscription,13.77,54048,28.12,1,Angel,₹0–3L
18,20.92,3.53,1.43,70.13,62,Entertainment,B2B2C,25.95,55430,4.46,1,Angel,₹0–3L
1,72.63,-5.0,8.11,208.04,63,FinTech,B2C,220.05,78607,-9.35,0,Angel,₹0–3L
5,36.81,6.17,1.84,126.92,37,Entertainment,Subscription,64.82,52397,28.62,1,Angel,₹0–3L
5,13.76,13.01,1.0,244.64,38,Entertainment,B2C,29.82,99300,13.12,1,Angel,₹0–3L
0,25.98,14.3,4.13,206.7,46,E-commerce,Marketplace,44.63,143918,13.28,1,Angel,₹0–3L
6,10.48,34.05,1.0,141.04,74,FinTech,Subscription,10.0,55491,3.34,1,Angel,₹0–3L
11,20.48,13.58,1.0,82.04,66,FinTech,Subscription,45.13,27347,1.88,1,Angel,₹0–3L
11,16.18,21.81,3.66,51.4,57,EdTech,B2C,26.54,41081,24.52,1,Angel,₹0–3L
19,9.63,8.8,1.38,108.57,13,HealthTech,Subscription,10.0,33919,25.5,1,Angel,₹0–3L
5,92.82,28.16,4.73,270.29,33,AI/ML,B2C,204.82,193962,24.1,1,Angel,₹0–3L
13,42.14,36.79,1.36,172.41,34,EdTech,B2C,13.97,83218,24.96,1,Angel,₹0–3L
16,18.09,14.38,1.0,62.05,75,HealthTech,Subscription,17.5,44728,19.73,1,Angel,₹0–3L
16,65.34,-3.9,8.39,167.54,34,EdTech,B2B2C,182.91,96722,11.65,1,Angel,₹0–3L
17,15.41,1.42,2.68,194.36,71,AgriTech,Marketplace,10.0,145929,7.49,1,Angel,₹0–3L
12,29.21,11.39,4.89,79.94,25,EdTech,B2C,69.22,61003,29.1,1,Angel,₹0–3L
12,15.56,13.48,1.0,165.27,27,AI/ML,B2B2C,51.95,50334,5.52,1,Angel,₹0–3L
10,28.99,16.39,4.8,154.59,52,AgriTech,B2C,24.58,52204,16.92,1,Angel,₹0–3L
2,23.21,13.53,2.62,66.68,79,E-commerce,B2B2C,37.93,28351,-0.93,1,Angel,₹0–3L
16,70.01,8.1,8.88,190.65,34,EdTech,Subscription,149.92,120998,0.79,1,Angel,₹0–3L
1,49.94,0.38,10.2,219.76,2,AI/ML,Marketplace,86.96,163533,6.49,1,Angel,₹0–3L
1,81.7,12.83,7.88,316.76,2,FinTech,B2B2C,186.71,167872,-0.99,1,Angel,₹0–3L
6,92.43,30.28,4.97,310.34,47,HealthTech,B2B,147.26,187284,24.49,1,Angel,₹0–3L
9,19.32,20.24,4.27,56.58,3,SaaS,B2C,14.98,22306,-8.53,1,Angel,₹0–3L
13,7.12,14.42,1.0,76.98,18,AI/ML,B2B2C,10.0,54075,12.69,1,Angel,₹0–3L
18,70.99,20.37,6.22,212.84,40,E-commerce,Marketplace,190.4,166792,13.69,1,Angel,₹0–3L
16,46.45,3.56,8.48,212.65,2,SaaS,Marketplace,49.41,92354,-16.87,0,Angel,₹0–3L
15,44.21,1.91,7.83,212.84,30,AI/ML,Marketplace,133.15,116510,3.54,1,Angel,₹0–3L
16,436.71,-0.86,89.13,2201.54,10,AI/ML,B2B2C,1169.37,755255,13.76,0,Seed Fund,₹3–15L
17,50.51,6.51,3.15,221.32,2,Entertainment,B2B2C,23.15,128271,16.97,1,Angel,₹0–3L
10,125.13,2.97,12.64,328.62,19,FinTech,Subscription,118.1,181197,7.18,0,Angel,₹0–3L
18,70.0,22.52,3.43,289.4,13,HealthTech,B2B,86.4,107719,22.03,1,Angel,₹0–3L
10,89.82,2.32,12.97,234.15,51,SaaS,B2B2C,197.82,122001,8.55,1,Angel,₹0–3L
9,13.46,-1.63,1.18,119.02,69,AgriTech,Subscription,38.92,55589,10.07,1,Angel,₹0–3L
13,76.61,31.33,13.67,252.47,30,HealthTech,B2C,37.77,141612,16.39,1,Angel,₹0–3L
13,28.88,2.59,1.0,86.4,25,E-commerce,B2B,31.74,51222,24.12,1,Angel,₹0–3L
9,36.18,9.85,1.22,125.74,29,AgriTech,Marketplace,54.4,38256,0.69,1,Angel,₹0–3L
3,27.73,13.42,3.31,105.66,12,AgriTech,B2B,24.59,71903,3.82,1,Angel,₹0–3L
9,38.93,-5.63,9.36,157.17,7,HealthTech,B2C,79.61,103181,-0.5,1,Angel,₹0–3L
5,263.54,22.89,59.27,750.14,2,FinTech,B2B2C,482.18,362425,6.92,1,Seed Fund,₹3–15L
10,16.88,15.65,4.2,50.0,6,E-commerce,B2B2C,22.16,16323,32.7,1,Angel,₹0–3L
17,22.27,26.71,2.58,239.94,80,FinTech,Subscription,43.51,162550,20.82,1,Angel,₹0–3L
5,17.35,-0.15,1.0,50.0,22,FinTech,B2B2C,24.96,38879,-6.98,0,Angel,₹0–3L
14,20.79,9.19,1.88,106.66,2,AgriTech,B2B2C,29.07,44805,1.76,0,Angel,₹0–3L
5,44.15,8.48,7.74,318.07,25,AI/ML,B2B,50.74,146871,16.3,1,Angel,₹0–3L
19,55.02,11.18,2.81,155.24,2,AI/ML,B2C,111.66,60840,-2.67,0,Angel,₹0–3L
0,14.04,-9.45,1.25,69.8,41,AI/ML,Marketplace,24.17,41072,-1.67,1,Angel,₹0–3L
8,29.95,9.34,1.0,89.95,38,AgriTech,Marketplace,27.8,33950,30.95,1,Angel,₹0–3L
13,33.96,-9.11,4.39,238.82,41,SaaS,Subscription,11.6,114180,0.04,0,Angel,₹0–3L
2,5.0,12.3,1.0,89.01,38,EdTech,B2C,10.0,57723,25.35,1,Angel,₹0–3L
0,38.58,-17.53,1.58,172.69,30,FinTech,B2B,16.86,100172,27.37,1,Angel,₹0–3L
13,13.04,-14.22,1.49,153.22,3,HealthTech,Marketplace,21.92,75574,-2.19,0,Angel,₹0–3L
13,29.54,17.83,2.98,94.06,38,E-commerce,Subscription,30.14,47979,-1.86,0,Angel,₹0–3L
3,97.6,1.46,14.02,665.65,65,EdTech,B2B2C,160.6,386778,5.98,1,Angel,₹0–3L
13,47.48,-3.84,9.13,231.31,85,AI/ML,B2B2C,64.3,70070,-6.65,0,Angel,₹0–3L
3,5.0,23.25,1.0,50.0,34,AgriTech,B2B,10.11,16962,13.75,1,Angel,₹0–3L
10,25.42,11.94,5.13,169.1,36,SaaS,Marketplace,66.51,125243,7.91,1,Angel,₹0–3L
19,30.21,18.47,1.0,93.39,52,EdTech,B2B2C,55.4,31652,16.95,1,Angel,₹0–3L
8,27.78,6.01,3.39,269.54,77,AgriTech,Subscription,13.84,176115,31.46,1,Angel,₹0–3L
10,23.56,40.16,3.65,85.22,27,EdTech,Subscription,10.0,64768,25.61,1,Angel,₹0–3L
14,50.83,0.76,12.2,136.96,57,FinTech,Marketplace,49.93,59624,17.4,1,Angel,₹0–3L
5,60.86,28.95,9.25,211.34,19,FinTech,B2B,101.01,102554,-17.08,1,Angel,₹0–3L
11,90.83,7.29,5.13,272.06,48,AgriTech,Subscription,40.3,159009,17.26,1,Angel,₹0–3L
12,5.65,-11.85,1.0,64.06,64,HealthTech,B2C,10.0,47457,34.85,1,Angel,₹0–3L
17,16.18,13.8,1.8,117.43,7,E-commerce,Subscription,50.77,90533,-30.0,1,Angel,₹0–3L
13,38.65,11.79,5.03,106.44,26,E-commerce,B2B,22.73,71288,21.32,1,Angel,₹0–3L
10,28.21,-4.61,1.84,93.94,63,AI/ML,Subscription,94.09,32250,7.23,0,Angel,₹0–3L
1,139.86,-3.03,18.91,510.72,55,HealthTech,B2B2C,425.35,324090,-3.0,1,Seed Fund,₹3–15L
